nodes,group_size,rep,mode,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path
128,4,6,mcast,1,67,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r6.cm
128,4,7,baseline,1,31,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r7.cm
128,4,7,mcast,1,31,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r7.cm
128,4,8,baseline,1,109,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r8.cm
128,4,8,mcast,1,109,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r8.cm
128,4,9,baseline,1,31,0,2048,3,0,3751,3751,bcast_sweep/bcast_n128_g4_r9.cm
128,4,9,mcast,1,31,0,2048,3,0,3413,3413,bcast_sweep/bcast_n128_g4_r9.cm
128,8,0,baseline,1,122,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r0.cm
128,8,0,mcast,1,122,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r0.cm
128,8,1,baseline,1,110,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r1.cm
128,8,1,mcast,1,110,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r1.cm
128,8,2,baseline,1,58,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r2.cm
128,8,2,mcast,1,58,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r2.cm
128,8,3,baseline,1,116,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r3.cm
128,8,3,mcast,1,116,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r3.cm
128,8,4,baseline,1,91,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r4.cm
128,8,4,mcast,1,91,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r4.cm
128,8,5,baseline,1,56,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r5.cm
128,8,5,mcast,1,56,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r5.cm
128,8,6,baseline,1,101,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r6.cm
128,8,6,mcast,1,101,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r6.cm
128,8,7,baseline,1,120,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r7.cm
128,8,7,mcast,1,120,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r7.cm
128,8,8,baseline,1,51,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r8.cm
128,8,8,mcast,1,51,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r8.cm
128,8,9,baseline,1,89,0,2048,7,0,4427,4427,bcast_sweep/bcast_n128_g8_r9.cm
128,8,9,mcast,1,89,0,2048,7,0,3413,3413,bcast_sweep/bcast_n128_g8_r9.cm
128,16,0,baseline,1,104,0,2048,15,0,5610,5610,bcast_sweep/bcast_n128_g16_r0.cm
128,16,0,mcast,1,104,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r0.cm
128,16,1,baseline,1,57,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r1.cm
128,16,1,mcast,1,57,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r1.cm
128,16,2,baseline,1,108,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r2.cm
128,16,2,mcast,1,108,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r2.cm
128,16,3,baseline,1,109,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r3.cm
128,16,3,mcast,1,109,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r3.cm
128,16,4,baseline,1,102,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r4.cm
128,16,4,mcast,1,102,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r4.cm
128,16,5,baseline,1,16,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r5.cm
128,16,5,mcast,1,16,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r5.cm
128,16,6,baseline,1,81,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r6.cm
128,16,6,mcast,1,81,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r6.cm
128,16,7,baseline,1,96,0,2048,15,0,5610,5610,bcast_sweep/bcast_n128_g16_r7.cm
128,16,7,mcast,1,96,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r7.cm
128,16,8,baseline,1,103,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r8.cm
128,16,8,mcast,1,103,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r8.cm
128,16,9,baseline,1,10,0,2048,15,0,5779,5779,bcast_sweep/bcast_n128_g16_r9.cm
128,16,9,mcast,1,10,0,2048,15,0,3413,3413,bcast_sweep/bcast_n128_g16_r9.cm
128,32,0,baseline,1,31,0,2048,31,0,8313,8313,bcast_sweep/bcast_n128_g32_r0.cm
128,32,0,mcast,1,31,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r0.cm
128,32,1,baseline,1,95,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r1.cm
128,32,1,mcast,1,95,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r1.cm
128,32,2,baseline,1,41,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r2.cm
128,32,2,mcast,1,41,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r2.cm
128,32,3,baseline,1,49,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r3.cm
128,32,3,mcast,1,49,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r3.cm
128,32,4,baseline,1,40,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r4.cm
128,32,4,mcast,1,40,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r4.cm
128,32,5,baseline,1,101,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r5.cm
128,32,5,mcast,1,101,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r5.cm
128,32,6,baseline,1,69,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r6.cm
128,32,6,mcast,1,69,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r6.cm
128,32,7,baseline,1,31,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r7.cm
128,32,7,mcast,1,31,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r7.cm
128,32,8,baseline,1,41,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r8.cm
128,32,8,mcast,1,41,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r8.cm
128,32,9,baseline,1,101,0,2048,31,0,8482,8482,bcast_sweep/bcast_n128_g32_r9.cm
128,32,9,mcast,1,101,0,2048,31,0,3413,3413,bcast_sweep/bcast_n128_g32_r9.cm
128,64,0,baseline,1,113,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r0.cm
128,64,0,mcast,1,113,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r0.cm
128,64,1,baseline,1,67,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r1.cm
128,64,1,mcast,1,67,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r1.cm
128,64,2,baseline,1,73,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r2.cm
128,64,2,mcast,1,73,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r2.cm
128,64,3,baseline,1,83,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r3.cm
128,64,3,mcast,1,83,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r3.cm
128,64,4,baseline,1,11,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r4.cm
128,64,4,mcast,1,11,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r4.cm
128,64,5,baseline,1,64,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r5.cm
128,64,5,mcast,1,64,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r5.cm
128,64,6,baseline,1,124,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r6.cm
128,64,6,mcast,1,124,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r6.cm
128,64,7,baseline,1,23,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r7.cm
128,64,7,mcast,1,23,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r7.cm
128,64,8,baseline,1,125,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r8.cm
128,64,8,mcast,1,125,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r8.cm
128,64,9,baseline,1,43,0,2048,63,0,13889,13889,bcast_sweep/bcast_n128_g64_r9.cm
128,64,9,mcast,1,43,0,2048,63,0,3413,3413,bcast_sweep/bcast_n128_g64_r9.cm
128,128,0,baseline,1,122,0,2048,127,0,24533,24533,bcast_sweep/bcast_n128_g128_r0.cm
128,128,0,mcast,1,122,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r0.cm
128,128,1,baseline,1,124,0,2048,127,0,24533,24533,bcast_sweep/bcast_n128_g128_r1.cm
128,128,1,mcast,1,124,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r1.cm
128,128,2,baseline,1,89,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r2.cm
128,128,2,mcast,1,89,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r2.cm
128,128,3,baseline,1,7,0,2048,127,0,24533,24533,bcast_sweep/bcast_n128_g128_r3.cm
128,128,3,mcast,1,7,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r3.cm
128,128,4,baseline,1,98,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r4.cm
128,128,4,mcast,1,98,0,2048,127,0,3413,3413,bcast_sweep/bcast_n128_g128_r4.cm
128,128,5,baseline,1,92,0,2048,127,0,24702,24702,bcast_sweep/bcast_n128_g128_r5.cm
