topology_class,su_topo,collective,baseline_algo,group_size,msg_bytes,size_mult,crosses_inc,crosses_baseline,bytes_inc,bytes_baseline,ratio_crosses,ratio_bytes,analytic_ratio,inc_makespan_ns,base_makespan_ns,drops,inc_status,base_status,so_topo,nodes,gpus_per_node,mtu,intranode_linkspeed_mbps,engine,command
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce_scatter,ring,8,32768,1,72,224,299520,473088,3.1111,1.5795,,574,5832,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_8_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_9xsydlo0.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_8_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce_scatter,rdouble,8,32768,1,72,192,299520,471040,2.6667,1.5726,,574,2589,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_8_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_9xsydlo0.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_8_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,bcast,ring,8,32768,1,64,224,266240,473088,3.5000,1.7769,,574,5932,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_bcast_8_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_kw4aa3_r.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_bcast_8_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce,ring,8,32768,1,72,224,299520,473088,3.1111,1.5795,,574,5932,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_8_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_eyql430z.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_8_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allgather,ring,16,65536,1,256,960,1064960,2027520,3.7500,1.9038,1.8750,633,12383,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allgather_16_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_2zko0j4p.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allgather_16_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allgather,rdouble,16,65536,1,256,736,1064960,2013184,2.8750,1.8904,1.8750,633,3467,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allgather_16_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_2zko0j4p.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allgather_16_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allreduce,ring,16,65536,1,512,1920,2129920,4055040,3.7500,1.9038,,641,24666,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_16_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_4pnfz0j5.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_16_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,allreduce,rdouble,16,65536,1,512,1472,2129920,4026368,2.8750,1.8904,,641,6834,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_16_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_4pnfz0j5.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_allreduce_16_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce_scatter,ring,16,65536,1,272,960,1131520,2027520,3.5294,1.7919,,641,12383,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_16_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_hphzfyv8.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_16_1.groups
single_switch,scaleup_single_switch_64_4000Gbps.topo,reduce_scatter,rdouble,16,65536,1,272,736,1131520,2013184,2.7059,1.7792,,641,3467,0,ok,ok,tree16_bw200Gbps.topo,2,64,4160,4000000,pcm-sdk,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_16_1.bin -nodes 2 -num_gpus_per_node 64 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 300 -lossless_low_pfc 240 -link_crosses_csv /tmp/lc_hphzfyv8.csv -mtu 4160 -groups /tmp/scaleup_coll_footprint/inc_single_switch_reduce_scatter_16_1.groups
